Data_Teste,Cenario_Workers_Esperado,Workers_Ativos,Threads_Ativas,Memoria_Total_GB,Hosts,Linhas_Processadas,Tempo_Segundos,Scheduler
2026-05-06 17:43:17,1,1,2,7.75,zorin,4069971,3.0141,tcp://10.100.39.211:8786
2026-05-06 18:14:49,2,2,4,15.51,zorin,4069971,1.4867,tcp://10.100.39.211:8786
2026-05-06 18:17:44,2,2,4,15.51,zorin,4069971,1.4184,tcp://10.100.39.211:8786
2026-05-06 18:19:54,2,2,4,15.51,zorin,4069971,1.4241,tcp://10.100.39.211:8786
2026-05-06 18:23:30,2,2,4,15.51,zorin,4069971,1.7598,tcp://10.100.39.211:8786
2026-05-06 18:27:54,2,2,4,15.51,zorin,4069971,2.4482,tcp://10.100.39.211:8786
2026-05-06 18:38:16,2,2,4,15.51,zorin,4069971,1.5147,tcp://10.100.39.211:8786
2026-05-06 18:42:30,3,3,6,23.26,zorin,4069971,2.2453,tcp://10.100.39.211:8786
2026-05-06 18:43:53,3,3,6,23.26,zorin,4069971,1.4728,tcp://10.100.39.211:8786
2026-05-06 18:51:46,3,3,6,23.26,zorin,4069971,2.4353,tcp://10.100.39.211:8786
2026-05-06 18:55:45,3,3,6,23.26,zorin,4069971,1.4367,tcp://10.100.39.211:8786
2026-05-06 18:56:05,3,3,6,23.26,zorin,4069971,1.3804,tcp://10.100.39.211:8786
2026-05-06 18:56:21,3,3,6,23.26,zorin,4069971,1.4024,tcp://10.100.39.211:8786
